Client,Name,Title,Full attribution,Industry,Vertical,Tags,"Quote ""...""",Source,Current client
Ulla Popken,Christian Kämmer,Head of E-commerce,"Christian Kämmer, Ulla Popken",Apparel / Accessories,Retail,BV Advantage: Strategy & Expertise,"The technology is great, but what sets Bazaarvoice apart is the fact that they are great people who really partner with us and support us in accomplishing the great vision that we have for customer dialogue.",Case study,Yes
Under Armour,Katie Romano,Ecommerce Program Analyst,"Katie Romano, Under Armour",Sporting Goods / Outdoors,Manufacturing,"BV Advantage: Network,Customer experience","Syndication has positively impacted the retail channel and benefits the consumer, whether they are coming from Under Armour directly or from a wholesaler. Our goal is to make the shopper experience seamless no matter what retailer a customer chooses to buy from by providing them with information on the products that builds confidence in their purchase decision knowing that the product will better serve their specific needs.",Case study,Yes
Unilever USA,Jenna Spivak Evans,Innovation and Digital Capabilities Manager,"Jenna Spivak Evans, Unilever USA",CPG (Consumer Packaged Goods),Manufacturing,Conversion,"Reviews instill a lot of trust among consumers and give them the confidence to make a purchase, and we’ve seen that there’s a positive correlation between review volume and number of orders. ",Case study,Yes
Unilever USA,Jenna Spivak Evans,Innovation and Digital Capabilities Manager,"Jenna Spivak Evans, Unilever USA",CPG (Consumer Packaged Goods),Manufacturing,SEO,"Because CGC delivers such rich content, you can see increases in search traffic of 15–25% as a result of using it. You will also see increases in website engagement metrics such as product page views per visit, average time spent on site and return visitor rate. ",Case study,Yes
Unilever USA,Jenna Spivak Evans,Innovation and Digital Capabilities Manager,"Jenna Spivak Evans, Unilever USA",CPG (Consumer Packaged Goods),Manufacturing,Insights,"Getting customer feedback provides an ongoing way to gather information about how a product is doing and where there's room for improvement. All that consumer feedback can provide an ongoing panel for informing R&D, customer service, quality teams, and others about how a product is performing. Ratings & Reviews aren’t necessarily the be-all and end-all for identifying issues with products, but it's a really good way to get a gut check.",Case study,Yes
Unilever USA,Jenna Spivak Evans,Innovation and Digital Capabilities Manager,"Jenna Spivak Evans, Unilever USA",CPG (Consumer Packaged Goods),Manufacturing,Insights,"When we include reviews in social ads and display ads, we see about a 20-30% improvement in performance.",Case study,Yes
Urban Decay Cosmetics,Katherine LaFranchise,Director of eCommerce,"Katherine LaFranchise, Urban Decay Cosmetics",Health / Beauty,Retail,"Conversion,BV Advantage: Strategy & Expertise","Bazaarvoice has helped us to tie consumer conversations to sales in ways we were never able to do before. The strategic advice and direction we got from our Client Success Director allowed us to build a strong and vibrant social community, not only on our site but everywhere that we have a social presence. That community is an incredibly powerful force for driving brand strength and sales.",Case study,Yes
Urban Outfitters,Christine Doobinin,Senior Buyer,"Christine Doobinin, Urban Outfitters",Apparel / Accessories,Retail,"Customer experience,Insights","Seeing the Ratings & Reviews reports is like having a focus group every week. It enables us to best service our customers by hearing directly from them. No matter how well we’re doing, we always want to improve by listening to the customer feedback we get. Having that direct feedback helps us do our jobs better and helps us focus even more on serving customers better. It’s all about getting customers the information they need and making their decisions easier, and Bazaarvoice helps us do that.",Case study,Yes
USAVinyl LLC,Michael C.,Account Executive,"Michael C., USAVinyl LLC",Hardware / Home Improvement,Manufacturing,"Customer engagement,Q&A","Never miss another customer question. Trying to find, organize and answer every customer question and review across multiple sales channels can be daunting if not impossible. The customers of today want answers now. Since implementing Bazaarvoice we do not miss any questions or reviews. Use it... Now.",G2,Yes
Valspar,Stephen Strong,Director of Digital ,"Stephen Strong, Valspar",Hardware / Home Improvement,Manufacturing,BV Advantage: Content Integrity,"The moderation part of review collection is extremely important from a time saving standpoint, not relying on Valspar employees to go through all that review content.  So the ability to rely on Bazaarvoice to provide that layer of quality moderation for the six years I have been working with Bazaarvoice has always been very strong. The ability to have real life moderators looking at the content as it comes in and giving that first round of approve and reject, and making sure we stay authentic on top of that is great. The ability to rely on Bazaarvoice to provide that layer of quality moderation is extremely important.",Video interview,Yes
Valspar,Stephen Strong,Director of Digital ,"Stephen Strong, Valspar",Hardware / Home Improvement,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Strategy & Expertise","I’ve always been impressed with the level of client services the Bazaarvoice teams have provided us over the years. Their ability to not just act as a help desk or as a technology vendor, and really think about our business and our needs and not just push the next cool thing. Bazaarvoice provides us with more of a strategic partner as opposed to just a technology partner.",Video interview,Yes
Vapore,Kasia Kirkbride,Director of Operations,"Kasia Kirkbride, Vapore",Health Care - Medical Devices,Manufacturing,"BV: Generic,BV Advantage: Service & Support,Tools,Review Response,Q&A,BV Advantage: Network","Excellent Platform and Fantastic Customer Support. We have been working with Bazaar Voice for 3 years or so, and are very happy with the platform itself as well as the Customer Support. Over the years we've enjoyed using the user friendly dashboard and having the ability to assist our customers in a quick and efficient way by accessing the Workbench. Responding to both reviews and questions is very easy and UI is user friendly. We are also very satisfied with the Customer Service provided by BV. Every time we had any issues with the syndication or uploading the feed files, the tickets were resolved very quickly and usually limited to a two-three email exchange. We highly recommend BV. It's a reputable company with knowledgable staff and solid technology that will help your product gain more legitimacy by sharing your customer reviews across many retailers. The actual setup itself is not complicated as long as your point of contact is familiar with basic coding and has access to the backend of the site. The main benefit we get from BV is the review syndication, which allows us to share people's opinions about our product across all of the retailers we are currently in.",G2,Yes
Vertbaudet,Chrystel Desproges,Ecommerce and Marketing Director,"Chrystel Desproges, Vertbaudet",Apparel / Accessories,Retail,Broad,Giving consumers a voice through innovative solutions like Bazaarvoice allows us to enter a new era in customer-centricity. Consumers today are looking for more authenticity and have more confidence in the opinions of their peers than brands and even influencers.,Case study,Yes
Vertbaudet,Chrystel Desproges,Ecommerce and Marketing Director,"Chrystel Desproges, Vertbaudet",Apparel / Accessories,Retail,"BV Advantage: Content Integrity,BV: Generic","Bazaarvoice is the ideal partner to address this, as its expertise and moderation allows us to guarantee to our customers that the reviews are authentic, reliable and qualitative.",Case study,Yes
Vertbaudet,Chrystel Desproges,Ecommerce and Marketing Director,"Chrystel Desproges, Vertbaudet",Apparel / Accessories,Retail,"BV: Generic,Broad,Insights","Bazaarvoice’s Ratings & Reviews solution is one of the keys to our strategy of strengthening our position in different markets, and we intend to make good use of it. With the help of Bazaarvoice, we hope to leverage both positive and negative feedback from customers, as both are truly valuable. The negative ones allow our teams to improve products, and the positive ones help inform other customers about the benefits. In both cases, the more the better",Case study,Yes
Wagner Spray Tech,Laura Clark,Digital Marketing Manager,"Laura Clark, Wagner Spray Tech",Hardware / Home Improvement,Manufacturing,Insights,"As a company, these reviews help us understand our customer journey better and how we can possibly improve the journey.",G2,Yes
Wagner Spray Tech,Laura Clark,Digital Marketing Manager,"Laura Clark, Wagner Spray Tech",Hardware / Home Improvement,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Strategy & Expertise",The support staff is very helpful and I really feel like it is a partnership. The account point people are on top of our account and check in frequently to make sure we are taking full advantage of our membership. They also are great and showing us new tools that they have recently added and working with us to take full benefit of the platform. I'm very impressed with their client support team and would highly recommend.,G2,Yes
Weatherables,Travis Weed,Account Executive,"Travis Weed, Weatherables",Hardware / Home Improvement,Manufacturing,"Insights,Q&A","Answer your customers questions with ease! I love this service! Customers can ask questions about the products that are being sold online, and you can just respond right from the Bazaarvoice website. You don't have to go to the retailers website or anything. This also gives you full access to your product reviews, so if you receive a negative review, you can reach out and see if there is something that was fallen short on. This is perfect for improving your products as well and your brand. This is getting information straight from the customers that are buying your product. This gives you a chance to evaluate and make changes if necessary. This allows me to see questions that customers are asking on our products and gives me a chance to answer their questions. Also, it is good to see what type of reviews are coming in from the products and seeing and evaluating what needs to be improved on.",G2,Yes
Weatherables,Travis Weed,Account Executive,"Travis Weed, Weatherables",Hardware / Home Improvement,Manufacturing,"Q&A,Connections,Customer engagement","It is being used to answer questions asked by our customers that are purchasing through our partner, Home Depot. It is only used by 3 people that have a clear understanding of the ordering process through that channel. The problem this addresses is the connections with customers of out products. They no longer need to reach us by phone only, they can ask a question and be assured that their question is being answered by a Weatherables Pro. As a company selling at a major channel such as Walmart, Amazon, Home Depot and more, it can be tough to answer and connect with all the customers that shop through those channels. By using Bazaarvoice, you have all of the questions in a simple, easy to read format that let's you and we're questions and respond to reviews of your products. Customers are more likely to purchase a product if their questions can be answered correctly and in a timely manner. Bazaarvoice helps with this.",Trust Radius,Yes
Webroot,Catherine K.,Director of Worldwide Online Acquisition and Awareness,"Catherine K., Webroot",Software,Retail,"BV: Generic,BV Advantage: Innovation",Best in class. Bazaarvoice continues to innovate their product to keep up with the needs of their customers.,G2,Yes
Webroot,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot",Software,Retail,"Review Response,Connections","We think a negative review can be a positive review if there’s a response. Anyone who sees our responses knows we take them seriously and take action appropriately, which drives consumer confidence in our products and in Webroot as a whole.",Case study,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,BV Advantage: Content Integrity,"One of the key selling points with Bazaarvoice is the moderation team because of the fact that we previously had to do all the moderation ourselves and the fact that Bazaarvoice can take all of the reviews from our customers, put them through moderation and verify them before syndicating them to retailers.",Direct,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,Customer engagement,The fact that we can reply to reviews across all these different sites is a huge value for us.,Direct,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,BV Advantage: Strategy & Expertise,"Our account team is great, and I really enjoy working with everyone. They are really understanding, and it is a very collaborative relationship.",Direct,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,"BV Advantage: Innovation,BV Advantage: Strategy & Expertise","The fact that I am able to express what we are looking for, they keep an ear out, and then let me know as soon as it is ready for us to try it, is great. I think it is really important to have that touch base, go through how everything is going, answer questions, tell me what is coming up, look at my goals, and they can help me figure out how to best achieve those goals in the coming months.",Direct,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,BV Advantage: Network,Syndication is a huge selling point for us. We get thousands and thousands of reviews syndicated out there where there might not be any reviews. ,Direct,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,BV Advantage: Service & Support,"The initial implementation was great. The implementation was clear, straight-forward and pretty fast.",Direct,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,BV Advantage: Innovation,"I can see that Bazaarvoice is always innovating. I really like how Bazaarvoice is continuously innovating. If there is anything I'd like to see changed, there is a good chance it will be at some point in the next year.",Direct,Yes
Webroot US,Drew Frey,Community and Advocacy Manager,"Drew Frey, Webroot US",Software,Retail,"Customer experience,Connections","We’re a customer-focused organization and really pride ourselves on building strong relationships with consumers wherever they are. Sharing their feedback with other shoppers and having a conversation with them online is an impactful way to do this. Consumers deciding between us and the competitors see that it’s not just about award-winning cybersecurity protection, but also our service and our focus on users of our technology.",Case study,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,"Tools,Connections","If the content from the retail sites wasn’t centralized on one platform, it would be very difficult to handle each question and review individually. Convenience and ease-of-management are big reasons we’re able to stay on top of customer feedback and ensure our dedicated representatives humanize their customer communications",Case study,Yes
Webroot US,Anna Kim,Sr. Advocate Programs Manager,"Anna Kim, Webroot US",Software,Retail,"Customer engagement,Connections","It’s our responsibility from the top of the company down to be responsive to shoppers’ questions and reviews. Someone who is vetting us against another brand sees that we interact with our customers, and that’s a big competitive advantage",Case study,Yes
Webroot US,Drew Frey,Community and Advocacy Manager,"Drew Frey, Webroot US",Software,Retail,Insights,"We value hearing from customers and need this constant feedback loop, whether it’s negative or positive, or we aren’t going to get better.",Case study,Yes
White Stuff,Lee Woods,Web Manager,"Lee Woods, White Stuff",Apparel / Accessories,Retail,"Customer experience,ROBO",The conversation becomes a way of extending White Stuff as a bricks-and-mortar high-street proposition onto the web. It’s been fantastic to be able to translate an online experience into something offline.,Case study,Yes
Zep Inc,Angela Ingram,Digital Marketing Strategist,"Angela Ingram, Zep Inc",CPG (Consumer Packaged Goods),Manufacturing,"BV Advantage: Strategy & Expertise,SEO","Working with our Bazaarvoice Client Success Director really made us figure out a couple of different avenues on how we could generate reviews and how to get them. With our partnership with Bazaarvoice, its amazing to see the traffic and SEO to our site.",Video interview,Yes
Zinus,Dorothy Schiller,Director of Marketing,"Dorothy Schiller, Zinus",Home Improvement/Furnishings,Manufacturing,"Customer engagement,Conversion,Q&A","Proactively addressing questions upfront removes the need for customers to contact our support center, provides the immediate answers that customers desire and, most importantly, minimizes unhappy customers on the backend. Traditional support channels are siloed and not public. Bazaarvoice helps you differentiate yourself from competitors by connecting your brand's voice to your customers - wherever they're shopping. With Connections, we’ve increased sales 35% and seen call volume to customer service cut in half.",Case study,Yes
Zinus,Syreeta McGee,Customer Care Team Specialist,"Syreeta McGee, Zinus",Home Improvement/Furnishings,Manufacturing,Insights,I love that by using Bazaarvoice we are able to receive direct feedback from our consumers. We've been able to be very proactive with the information provided by the system. We're able to gain priceless consumer insight and correct tons of issues.,G2,Yes
Parachute,Luke Droulez,CMO,"Luke Droulez, Parachute",Home Improvement/Furnishings,Manufacturing,"Amplify,Visual content",We’ve seen that our customers have a higher propensity clicking on and engaging with rich UGC imagery than traditional product-centric imagery.,Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,Broad,"We’ve changed quite a bit over the years. Over the last eight years, luggage has become our core business under a new label. We’re no longer just a label on a piece of luggage. To build our brand, we made UGC a priority and a point of differentiation.",Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,BV Advantage: Network,It goes a long way to building brand equity and convincing retailers that might not know us to carry our products. They can’t escape the fact that we have hundreds of thousands of displayable reviews from real people saying they love our products.,Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,"Volume,BV Advantage: Network","We’ve dwarfed our competition on category and search results pages. Our products jump out to shoppers compared to our competitors’ products, even among the major brands. Our top star ratings and high review volumes scream to shoppers that our luggage is popular and trusted and that leads to more click-throughs to our product pages and then more conversions.",Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,"Volume,BV Advantage: Network","While reviews have been massively helpful with selling at retail, it also gives our retailers satisfaction in carrying our products and incentive to promote us. In 2019, Walmart decided to include our Fibertech collection in their Black Friday promotion, in part because it had tens of thousands of reviews.",Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,"Volume,BV Advantage: Network","I don’t understand why more brands don’t collect and syndicate reviews. Fortunately, it’s an opportunity for others like us. The reality is that there’s a lot of whitespace, where reviews are being ignored by incumbents and newer brands like iFLY are positioned to capture the hearts and minds of shoppers and establish themselves.",Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,Insights,"We see in the dashboard that despite having less than 2% product share in the luggage category at Walmart, we have over 80% review share. The discrepancy is enormous.",Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,Insights,"We identified that we needed to correct a problem only because we noticed it through reviews. There is an opportunity to make your best-selling items even better. We had a soft-side luggage collection that was selling very well. But we noticed that even though it was one of our top-selling products, it was averaging 4.2 stars, which is actually a low rating for us. We looked into the reviews and noticed a lot of people saying that the bag was tipping over, and we realized that the structure of the luggage needed to be re-engineered. As a result, we corrected the structure of that item and made that same improvement across all similar products in our collection. ",Case study,Yes
Calego,David Rapps,President and Chief Strategy Officer,"David Rapps, Calego",Travel,Manufacturing,Amplify,"We also include reviews on physical product packaging. Even though e-commerce is booming, we still rely heavily on in-store sales, and we want to bring a digital experience to the store. If you’re shopping online, you are going to read reviews. So, we thought, why don’t we give that experience to the in-store customer to reinforce our brand and product proposition?",Case study,Yes
Karcher,Kevin Wiredu,Senior E-Commerce Specialist,"Kevin Wiredu, Karcher",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Network,Volume,Sampling,TryIt","One of our major retailers challenged us to generate as much content as possible for the launch of our new products in garden care, including dozens of lawnmowers, chainsaws, and leaf blowers. Having reviews in place just before the retailer releases our products gives consumers the confidence to try our new products right from the start. It’s a key to our success.

",Case study,Yes
Karcher,Kevin Wiredu,Senior E-Commerce Specialist,"Kevin Wiredu, Karcher",Hardware / Home Appliance Electronics,Manufacturing,"TryIt,Sampling,Visual content","The campaign execution was very simple and straightforward. It only took two weeks from the time we sent products to customers to the time they reviewed them. And the quality of the reviews also stood out. We get lots of pictures and videos from sampling customers that we rarely get from organic reviews. This visual content gives other customers a better view of the machine and how others are interacting with it.

",Case study,Yes
Karcher,Kevin Wiredu,Senior E-Commerce Specialist,"Kevin Wiredu, Karcher",Hardware / Home Appliance Electronics,Manufacturing,,"In some countries, Kärcher is mostly known for pressure washers. But our product range is so much more wide. For example, we recently introduced the new category called electric weed remover. These were completely unique and unknown to consumers, so shoppers had nothing to compare them to. That’s why reviews played such an important role in getting consumers confident in the products.

",Case study,Yes
Karcher,Kevin Wiredu,Senior E-Commerce Specialist,"Kevin Wiredu, Karcher",Hardware / Home Appliance Electronics,Manufacturing,"TryIt,Sampling,BV Advantage: Network,Insights","Without much market research, UGC is our way of collecting insights, especially at the time of entry.",Case study,Yes
Karcher,Kevin Wiredu,Senior E-Commerce Specialist,"Kevin Wiredu, Karcher",Hardware / Home Appliance Electronics,Manufacturing,Insights,"Because the product was completely new, we noticed from reviews that many customers didn’t understand the product’s purpose or how to use it. Customers expected the product to do a lot more than it’s actually intended. So, we adjusted our messaging on the product pages, packaging, and in the user manual to make it more clear. This is something we wouldn’t have known to do without reviews.",Case study,Yes
Beaumont Products,Abby Clark,Digital Marketing Manager,"Abby Clark, Beaumont Products",Health / Beauty,Manufacturing,BV: Generic,"Bazaarvoice is a fantastic platform for reviews management, product/brand exposure and product sampling. It has improved by leaps and bounds over the last couple of years and is something I rely on daily for VOC management.",G2,Yes
Beaumont Products,Abby Clark,Digital Marketing Manager,"Abby Clark, Beaumont Products",Health / Beauty,Manufacturing,"Review Response,Q&A",The ability to respond to questions and reviews is invaluable since consumers are putting so much trust into feedback from other consumers. ,G2,Yes
Beaumont Products,Abby Clark,Digital Marketing Manager,"Abby Clark, Beaumont Products",Health / Beauty,Manufacturing,BV Advantage: Innovation,The webinars and summits are extremely helpful and informative...they introduced me to all the great features available and helped me become an expert in no time.,G2,Yes
Beaumont Products,Abby Clark,Digital Marketing Manager,"Abby Clark, Beaumont Products",Health / Beauty,Manufacturing,Insights,"Insights are helping provide a deeper understanding of consumer sentiment and competitors, as well as areas for improvement.",G2,Yes
Beaumont Products,Abby Clark,Digital Marketing Manager,"Abby Clark, Beaumont Products",Health / Beauty,Manufacturing,Influenster,Influenster sampling is allowing us to reach a hyper-targeted group of consumers and providing great UGC and social syndication. I just got several new retailer listing added that I did not realize weren't connected to our account. It was great watching the reviews pour in!,G2,Yes
Williamson-Dickie Manufacturing,Monique Hall,eCommerce Manager,"Monique Hall, Williamson-Dickie Manufacturing",Apparel / Accessories,Manufacturing,Broad,Keeping in touch with customers using the reviews has really helped build trust with our customers. they come back to us knowing they can get results or an action taken immediately.,G2,Yes
LG,David Hall,Head of Digital,"David Hall, LG",Consumer Electronics,Manufacturing,"Broad,Sampling,TryIt","When launching into a new category, it is vital that there is trusted validation of the product in the eyes of the consumer. Customer reviews are great way to do this, as they are an open and honest assessment from real users about their experience with the product. When it is also a new product or concept for the market, the firsthand reviews are even more important to educate the customer on what it is like to have the LG Styler in their home.",Case study,Yes
LG,David Hall,Head of Digital,"David Hall, LG",Consumer Electronics,Manufacturing,"Broad,Sampling,TryIt","With a totally new product in the market, even one or two reviews provides that ‘genuine’ feedback for potential customers. It shows them what the product is really like and what it can bring to their home—and from an independent source that is not just reading of the spec sheet or information provided by LG.",Case study,Yes
LG,David Hall,Head of Digital,"David Hall, LG",Consumer Electronics,Manufacturing,"Sampling,TryIt,Visual content",It really helps to have visual UGC with the reviews. Pictures and videos from consumers with the product in use really cements the authentic nature of the reviews. – it helps potential customers to visualise in a ‘real’ home rather than just having the highly polished product and lifestyle images from LG.,Case study,Yes
Walmart Canada,Shariq Hasan,"Associate Manager, E-commerce Merchandising Operations","Shariq Hasan, Walmart Canada",Mass Merchant / Department Store,Retail,"BV Advantage: Network,Conversion,Volume","The products that stand out on our site have strong review volume numbers and high average ratings. Getting more reviews is one ways brands can improve where their products show up, giving them more clicks to their products. Our brands see that as their review volume goes up, so do their conversion rates.",Case study,Yes
Walmart Canada,Shariq Hasan,"Associate Manager, E-commerce Merchandising Operations","Shariq Hasan, Walmart Canada",Mass Merchant / Department Store,Retail,"BV Advantage: Network,Volume",Many of our merchant teams reach out to brands and motivate them to increase their review volume and coverage by highlighting the value of UGC. This is key for scalability.,Case study,Yes
Walmart Canada,Shariq Hasan,"Associate Manager, E-commerce Merchandising Operations","Shariq Hasan, Walmart Canada",Mass Merchant / Department Store,Retail,"BV: Generic,BV Advantage: Service & Support,BV Advantage: Strategy & Expertise,BV Advantage: Network","From the account teams to the technical support, our relationship with Bazaarvoice is how we’re able to achieve the things we do. As the major player in the market, Bazaarvoice is already working with so many of our brands that it makes our decision to use Bazaarvoice an obvious one.",Case study,Yes
Kraft Heinz,Elizabeth Northrup,Associate Brand Manager,"Elizabeth Northrup, Kraft Heinz",Food / Beverage / Drug,Manufacturing,,"The campaigns for Vinaigrettes, Twisted Ranch and Bitten over-delivered on our targets for the program, delivering 2x the product reviews we expected, and the earned media was over 5x our program investment.",Case study,Yes
Kraft Heinz,Elizabeth Northrup,Associate Brand Manager,"Elizabeth Northrup, Kraft Heinz",Food / Beverage / Drug,Manufacturing,,The ability to hyper-target consumers based on behaviors and other characteristics beyond typical demographics was a key benefit in choosing Influenster. It ensured we didn’t just send products to a large group of people and instead to consumers who are interested in getting to know and love the brand long-term.,Case study,Yes
Kraft Heinz,Elizabeth Northrup,Associate Brand Manager,"Elizabeth Northrup, Kraft Heinz",Food / Beverage / Drug,Manufacturing,,The quality of UGC from Influenster members was one of the biggest advantages. They were especially creative with their photos and gave us and other consumers a new way to see how the products can be used.,Case study,Yes
Kraft Heinz,Elizabeth Northrup,Associate Brand Manager,"Elizabeth Northrup, Kraft Heinz",Food / Beverage / Drug,Manufacturing,,Hearing directly from consumers about their experiences is a powerful way for us to identify specific attributes that people enjoy about our products and to make changes and improvements based on their feedback.,Case study,Yes
Kraft Heinz,Elizabeth Northrup,Associate Brand Manager,"Elizabeth Northrup, Kraft Heinz",Food / Beverage / Drug,Manufacturing,,The VoxBox is a nice compliment to other marketing initiatives and is helpful for building trust and credibility... It has helped achieve our brand goals of driving trial with thousands of reviews and awareness with millions of impressions. We would definitely work with Influenster for sampling programs to support launches in the future.,Case study,Yes
